Time,TZ-1::Des Heat Load [W],TZ-1:FORTALEZA/PINTO_MAR ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Sens Cool Load [W],TZ-1::Des Heat Mass Flow [kg/s],TZ-1:FORTALEZA/PINTO_MAR ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Cool Mass Flow [kg/s],TZ-1::Des Latent Heat Load [W],TZ-1::Des Latent Cool Load [W],TZ-1::Des Latent Heat Mass Flow [kg/s],TZ-1::Des Latent Cool Mass Flow [kg/s],TZ-1::Des Heat Load No DOAS [W],TZ-1::Des Sens Cool Load No DOAS [W],TZ-1::Des Latent Heat Load No DOAS [W],TZ-1::Des Latent Cool Load No DOAS [W],TZ-1::Heating Zone Temperature [C],TZ-1::Heating Zone Relative Humidity [%],TZ-1:FORTALEZA/PINTO_MAR ANN HTG WIND 99.6% CONDNS WS=>MCDB:Cooling Zone Temperature [C],TZ-1:FORTALEZA/PINTO_MAR ANN HTG WIND 99.6% CONDNS WS=>MCDB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,6.172546E+02,0.000000E+00,1.511929E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
02:00:00,0.000000E+00,6.172187E+02,0.000000E+00,1.511841E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
03:00:00,0.000000E+00,6.171855E+02,0.000000E+00,1.511760E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
04:00:00,0.000000E+00,6.171549E+02,0.000000E+00,1.511684E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
05:00:00,0.000000E+00,6.171265E+02,0.000000E+00,1.511615E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
06:00:00,0.000000E+00,6.171003E+02,0.000000E+00,1.511551E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
07:00:00,0.000000E+00,6.170760E+02,0.000000E+00,1.511491E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597896E+01
08:00:00,0.000000E+00,6.170536E+02,0.000000E+00,1.511436E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
09:00:00,0.000000E+00,6.170329E+02,0.000000E+00,1.511386E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
10:00:00,0.000000E+00,6.170138E+02,0.000000E+00,1.511339E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
11:00:00,0.000000E+00,6.169961E+02,0.000000E+00,1.511295E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
12:00:00,0.000000E+00,6.169797E+02,0.000000E+00,1.511255E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
13:00:00,0.000000E+00,6.169646E+02,0.000000E+00,1.511218E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
14:00:00,0.000000E+00,6.169506E+02,0.000000E+00,1.511184E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
15:00:00,0.000000E+00,6.169377E+02,0.000000E+00,1.511152E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
16:00:00,0.000000E+00,6.169257E+02,0.000000E+00,1.511123E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
17:00:00,0.000000E+00,6.169147E+02,0.000000E+00,1.511096E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
18:00:00,0.000000E+00,6.169045E+02,0.000000E+00,1.511071E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
19:00:00,0.000000E+00,6.168950E+02,0.000000E+00,1.511048E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.800000E+01,6.597895E+01
